구분,개별단독,개별아파트(개인),개별아파트(상업),상업개인,상업법인,공공기관,학교,아파트(단지) 가입자수,아파트(단지) 세대수,학교(단지),건물(단지),합계 (가입자수),합계 (세대수)
전북 군산시,3115,13550,0,433,8,4,12,12,8341,0,0,17134,25463
전북 김제시,10636,1918,0,291,1,67,3,7,3474,0,9,12932,16399
전북 남원시,11347,4698,0,612,4,30,3,10,5639,0,0,16704,22333
전북 무주군,3890,251,0,8,0,10,4,1,303,0,0,4164,4466
전북 부안군,3904,882,0,34,2,8,7,8,3210,0,0,4845,8047
전북 순창군,3589,403,0,39,4,3,5,1,494,0,0,4044,4537
전북 완주군,6409,3912,0,131,0,37,41,5,2983,4,0,10539,13517
전북 익산시,11089,9761,1,485,8,69,27,78,42324,0,1,21519,63765
전북 임실군,4298,366,0,31,1,290,14,2,422,0,0,5002,5422
전북 장수군,4762,276,0,58,0,10,1,2,467,0,0,5109,5574
전북 전주시,7472,32400,10,231,14,26,21,32,21799,2,1,40209,61976
전북 정읍시,13286,8272,0,309,11,25,28,6,3013,0,0,21937,24944
전북 진안군,4124,256,0,65,3,20,13,1,200,1,0,4483,4682
제주 서귀포시,26564,4506,0,10,3,2,1,15,4716,0,0,31101,35802
제주 제주시,51295,14231,1,64,9,90,1,24,9063,0,1,65716,74755
충남 계룡시,88,1528,0,2,0,1,1,0,0,0,0,1620,1620
충남 공주시,4373,2318,0,32,1,3,8,17,8598,0,0,6752,15333
충남 금산군,3279,218,0,1,3,5,0,5,2237,0,0,3511,5743
충남 논산시,1506,445,0,197,0,4,11,28,10526,0,0,2191,12689
충남 당진시,1659,2085,0,4,3,7,4,9,4734,0,0,3771,8496
충남 보령시,4792,2675,0,16,1,60,9,21,8608,0,0,7574,16161
충남 부여군,3012,373,0,3,1,0,2,1,390,0,0,3392,3781
충남 서산시,1187,1619,0,6,1,3,6,26,17316,0,1,2849,20139
충남 서천군,3522,558,0,5,1,5,3,7,1873,0,0,4101,5967
충남 아산시,625,5210,0,17,6,8,24,46,35025,6,1,5943,40922
충남 예산군,5398,653,1,1,1,2,4,2,402,0,0,6062,6462
충남 천안시,1486,20153,0,9,5,11,14,52,36004,0,0,21730,57682
충남 청양군,3256,377,0,1,1,1,2,1,305,0,0,3639,3943
충남 태안군,483,160,0,1,0,2,7,5,1876,0,0,658,2529
충남 홍성군,1228,792,0,3,1,6,14,5,2482,0,0,2049,4526
충북 괴산군,2541,53,0,2,0,2,2,1,310,0,0,2601,2910
충북 단양군,1280,596,0,5,1,1,0,0,0,0,0,1883,1883
충북 보은군,1827,144,0,1,1,0,6,0,0,0,0,1979,1979
충북 영동군,1019,257,0,4,1,7,2,3,878,0,0,1293,2168
충북 옥천군,1014,511,0,19,0,10,1,0,0,0,0,1555,1555
충북 음성군,3238,1306,0,2,0,1,3,11,5872,0,0,4561,10422
충북 제천시,1931,3328,0,16,2,7,4,12,7433,0,2,5302,12723
충북 증평군,3031,1115,0,134,0,9,2,20,8372,0,0,4311,12663
충북 진천군,2334,1381,0,8,2,6,4,7,2315,0,0,3742,6050
충북 청주시,4092,9204,0,39,12,8,22,69,50396,0,0,13446,63773
충북 충주시,1198,2758,0,12,1,1,11,8,3522,0,2,3991,7505
